uasg,num_licitacao
10001,1262013
20001,182012
20001,272019
20001,282016
20001,1222017
20001,1382011
30001,52011
30001,142015
30001,152011
30003,52009
30026,22009
40001,422016
40001,662016
40001,672006
40001,812013
40001,1252009
40001,1282010
40003,292013
40003,392020
50001,242014
50001,562015
50001,652009
50001,1292012
50001,1342013
60001,102009
60001,482010
60001,922017
60001,1192015
60001,1472012
60007,22019
60030,22014
70001,292008
70001,782018
70001,872020
70004,532019
70004,622011
70004,1032013
70005,12017
70005,52007
70005,62018
70005,142007
70005,362013
70006,42010
70006,292018
70006,372020
70007,122020
70007,392009
70007,412016
70008,332008
70008,422013
70009,32013
70009,102016
70009,472015
70009,672015
70010,102016
70010,612019
70011,132012
70011,572011
70011,772014
70013,252013
70013,522019
70014,112013
70014,142011
70014,612009
70014,682017
70014,1252010
70015,342008
70016,52016
70016,62018
70017,72007
70017,562015
70018,142012
70019,112016
70019,392018
70019,642007
70019,842011
70020,262011
70020,282007
70020,322017
70020,382011
70020,912011
70020,1122013
70020,1152012
70021,252020
70021,462016
70021,482010
70022,72015
70022,532015
70023,52018
70023,342020
70027,52015
70027,562018
70027,852020
70028,52016
70028,142011
70028,342018
80001,42015
80001,172015
80001,202018
80001,212017
80001,252019
80001,462020
80001,562008
80001,662017
80001,732007
80001,742016
80001,1042007
80001,1212017
80002,262016
80003,552010
80006,162020
80009,732017
80010,362019
80010,612018
80016,372013
80016,382012
80016,442007
80016,972011
80020,132014
80026,142013
80026,622014
90002,102013
90002,262007
90002,322017
90003,352010
90003,452013
90004,252008
90009,352012
90009,562015
90012,92019
90012,622011
90012,752009
90016,172013
90016,512015
90016,852008
90016,1022011
90016,1682010
90017,352021
90018,412011
90019,182020
90019,412018
90020,112013
90021,232012
90023,252011
90023,352012
90023,562010
90024,112018
90026,112015
90027,162010
90027,412017
90027,642016
90027,832009
90027,1012013
90027,1202010
90028,312016
90028,1092016
90028,2062007
90030,112010
90030,182009
90030,512014
90030,672015
100001,12020
100001,412010
100001,1782012
110001,522010
110001,1242012
110001,1252009
110061,422009
110097,252008
110097,262009
110097,452007
110120,112017
110120,332020
110176,92010
110197,252009
110404,282007
110404,352020
110404,522006
110511,192013
112408,42019
113202,72007
113202,302007
113202,442007
113202,462010
113202,802013
113202,1112006
113202,1562012
113202,3022016
113204,52013
113205,3382011
113210,32019
113214,142017
113214,342019
114601,52017
114601,782009
114612,22007
114615,52009
114617,42010
114622,112010
114625,132007
114631,42018
114639,12021
115406,232017
115406,412017
120001,132020
120003,342015
120003,402014
120006,152012
120006,482016
120008,292007
120014,112014
120015,262014
120016,892020
120016,942014
120016,1042019
120016,2692015
120016,3502013
120017,332015
120023,62013
120024,882016
120024,912013
120026,122007
120026,152012
120027,82009
120029,172012
120030,292012
120039,452013
120039,482010
120039,532015
120039,562017
120039,792006
120060,112015
120060,282013
120060,512009
120060,842009
120060,1062009
120060,10512012
120062,542009
120065,272013
120065,432012
120065,542009
120065,592009
120066,52010
120066,62011
120066,182011
120067,252014
120068,282014
120068,422012
120072,382014
120072,602012
120073,492011
120074,222010
120074,612009
120075,242008
120075,262012
120076,1522009
120080,242012
120081,72013
120082,422012
120085,352014
120085,802011
120100,222012
120101,22016
120195,42013
120625,82019
120625,142018
120627,92019
120628,1232018
120630,62019
120630,262020
120632,382018
120632,832017
120632,1032018
120632,1322018
120633,312021
120633,582017
120633,762019
120634,82020
120634,242018
120636,382018
120637,72018
120637,182019
120641,342019
120643,452019
120645,52019
130005,162008
130014,32011
130016,562012
130025,82008
130027,22018
130030,12010
130032,72016
130032,142010
130056,72012
130058,192012
130068,22008
130072,142009
130080,162010
130102,62014
130122,22010
130122,92009
130126,32014
135001,262014
135005,42008
135005,212007
135006,272018
135006,742014
135008,212012
135011,82009
135011,312011
135012,1212009
135013,302013
135013,352012
135014,132015
135014,162014
135015,222008
135015,272011
135015,272013
135016,222009
135016,312008
135023,12013
135023,12020
135023,42008
135023,92015
135023,322015
135024,122020
135024,362008
135025,182011
135029,412010
135031,172010
135031,312011
135031,362014
135031,392015
135032,142006
135036,62009
135036,92007
135036,102009
135036,222009
135036,242016
135038,172008
135040,402007
135041,72009
135048,92008
135058,802007
135072,22013
135078,12014
135081,132009
135081,492009
135101,22015
135101,142020
135209,42012
135345,102009
148002,102014
148002,2372014
148002,2832012
150002,302015
150002,342011
150150,142019
150150,162015
150221,212018
150221,302014
150221,1542012
150229,472016
150229,572010
150231,532011
150231,632013
150231,812011
150232,142019
150232,2292009
150232,2542015
150232,3202014
150232,3732016
150232,5222017
150233,2172016
150247,332016
150247,332018
150247,462020
150247,1012017
150248,182016
150248,582015
150248,632012
150248,762012
150248,1012011
150248,1052013
151879,92012
151879,182015
151889,32017
151895,432011
152005,42021
152005,132014
152005,402018
152134,102020
152254,62019
152477,2432017
152477,4692013
153004,332009
153008,622008
153009,772009
153011,1382007
153011,2212009
153015,192010
153015,302016
153015,782013
153020,142008
153020,1452008
153024,152007
153024,1242008
153026,142006
